annee;mois;jour;jour_semaine;numero_semaine;est_semaine;est_weekend;mission;id_train;heure_depart_prevue;nom_gare_depart;id_gare_depart;nom_gare_arrivee;id_gare_arrivee;statut;nombre_arrets;nombre_arrets_supprimes;retard_max_en_secondes;retard_moyen_en_secondes;retard_median_en_secondes;retard_en_minutes_par_gare;decompte_retards_en_minutes
2020;1;1;3;1;1;0;OPPE;?;05h11;Cergy le Haut;uic_87382655;?;?;normal;9;0;120;73;60;1 - 1 - 0 - 0 - 1 - 2 - 2 - 2 - 2;0: 2 - 1: 3 - 2: 4
2020;1;1;3;1;1;0;QYRO;?;00h05;Cergy le Haut;uic_87382655;?;?;normal;9;0;0;0;0;0 - 0 - 0 - 0 - 0 - 0 - 0 - 0 - 0;0: 9
2020;1;1;3;1;1;0;QYRO;?;06h12;Cergy le Haut;uic_87382655;?;?;normal;9;0;0;0;0;0 - 0 - 0 - 0 - 0 - 0 - 0 - 0 - 0;0: 9
2020;1;1;3;1;1;0;QYRO;?;07h11;Cergy le Haut;uic_87382655;?;?;normal;9;0;120;46;60;1 - 1 - 0 - 0 - 1 - 2 - 1 - 1 - 0;0: 3 - 1: 5 - 2: 1
2020;1;1;3;1;1;0;QYRO;?;08h04;Cergy le Haut;uic_87382655;?;?;normal;9;0;240;113;60;0 - 1 - 0 - 0 - 1 - 4 - 4 - 4 - 3;0: 3 - 1: 2 - 3: 1 - 4: 3
2020;1;1;3;1;1;0;QYRO;?;08h44;Cergy le Haut;uic_87382655;?;?;normal;9;0;120;86;60;1 - 1 - 1 - 1 - 2 - 2 - 2 - 2 - 1;1: 5 - 2: 4
2020;1;1;3;1;1;0;QYRO;?;09h24;Cergy le Haut;uic_87382655;?;?;normal;9;0;120;46;0;0 - 0 - 0 - 0 - 1 - 2 - 2 - 2 - 0;0: 5 - 1: 1 - 2: 3
2020;1;1;3;1;1;0;QYRO;?;10h04;Cergy le Haut;uic_87382655;?;?;normal;9;0;240;173;180;2 - 2 - 2 - 2 - 3 - 4 - 4 - 4 - 3;2: 4 - 3: 2 - 4: 3
2020;1;1;3;1;1;0;QYRO;?;10h44;Cergy le Haut;uic_87382655;?;?;normal;9;0;120;26;0;0 - 0 - 0 - 0 - 0 - 1 - 0 - 2 - 1;0: 6 - 1: 2 - 2: 1
2020;1;1;3;1;1;0;QYRO;?;11h24;Cergy le Haut;uic_87382655;?;?;normal;9;0;120;60;60;2 - 1 - 1 - 0 - 1 - 2 - 1 - 1 - 0;0: 2 - 1: 5 - 2: 2
